strain	clade	mlm_all	mlm_Pro	mlm_Arg	mlm_Ali	mlm_Aro	mlm_Aci	mlm_Gra	mlm_best
1	Colwellia piezophila ATCC BAA-637	Clade C	2.45654115263476	1.49025699219652	4.98148748333618	4.71327388375505	2.45051507581076	3.22848973136885	3.57545277377459	4.20382818778936
2	Colwellia marinimaniae strain MTCD1	Clade C	5.14702751979881	5.80266684747585	6.0212931594213	8.37076339625264	5.43904379666964	2.2780979978123	8.92247104060144	7.58883570727914
3	Colwellia psychrerythraea 34H	Clade C	6.00828697151175	4.0638557664893	2.72968603447038	6.97291864823262	1.99512694472139	6.56745147887017	5.87113503055946	7.23661971302409
4	Thalassotalea sp. LPB0090	Other Colwelliaceae	7.99230713302276	7.96169005695495	12.4748378819721	7.54697824407776	8.93495404682199	1.3151160196297	1.7674125420228	8.18225516999282
5	Colwellia BRX9.1	Clade A1	0.0756233193100382	1.38212110312335	1.68166533618085	0.10045659920854	2.78865018340713	4.09170725949403	1.60735573126092	0.524086859124443
6	Colwellia sp. PAMC 20917	Clade A1	0.59036947911822	0.352510817566269	1.75720027818817	2.34430040340828	1.79376569575027	5.01085898196885	4.85136815642666	0.354162545946693
7	Cognaticolwellia sediminilitoris strain KCTC 52213	Clade B	15.390189995729	15.7098332595713	16.6782332924008	15.8739909315017	18.7831671514361	14.561598370132	17.045056893224	15.1553371090636
8	Cognaticolwellia mytili strain KCTC 52417	Clade B	2.92614947195156	10.1969852447464	6.91400179162488	3.85140974912599	7.89352611395901	6.23786265148738	5.4884116235542	3.17558725737351
9	Pseudocolwellia agarivorans strain QM50	Other Colwelliaceae	8.80576554340147	9.43834922043689	21.4470798125109	3.58890138845061	7.61146479017521	9.98379871978287	3.43570147114189	6.4073680557488
10	Cognaticolwellia beringensis strain NB097-1	Clade B	4.63934132410288	4.5406064439033	3.04792970697751	3.23904518552376	0.302177312532024	2.51369017456898	0.755345396904518	4.9292988073908
11	Colwellia echini strain A3T	Clade C	9.54047070564245	6.56187478247043	8.68555754931478	4.71548220071566	15.7299183840388	0.990323830524915	3.27865579671575	6.43763717257005
12	Colwellia Bg11-28	Clade C	5.73532453231904	0.905101047407431	0.875106067274775	5.62289048896143	3.01542992841376	4.65249562489031	4.57085965486169	5.76959913271084
13	Litorilituus sp. RZ04	Other Colwelliaceae	5.42789725588784	14.9741261071958	14.9468653257278	4.34432113456239	7.70846575135153	7.00986336594653	4.2494211273749	6.09231143648143
14	Thalassotalea sp. ZS-4	Other Colwelliaceae	3.14653926847897	3.03965874001383	7.21088496415929	5.75847503210582	17.8033499716448	16.2347885908574	15.4392121299165	1.56381186927768
15	Colwellia MB02u-1	Clade B	0.955104943248477	6.19964613546969	6.9561168314303	0.465464623511826	1.21167755019388	0.476433097310343	1.46748835271956	1.4840103373463
16	Colwellia MB02u-6	Clade B	1.88231793193915	7.59652457064288	7.99158803780494	0.224982423595915	3.32739465927704	0.0949681419771728	0.933190938620934	2.3614551997312
17	Colwellia MB02u-7	Clade A2	3.65948176639116	2.91290208947644	4.47112407208722	4.20946318812207	10.2732277746206	5.28577070076483	6.81298216706776	2.57534470715422
18	Colwellia MB02u-9	Clade B	1.2038680177621	5.78972915262619	6.23068043441473	0.05377256756009	1.11410074532682	0.242693323282312	1.23841473153876	1.79966090325633
19	Colwellia MB02u-10	Clade B	3.29173373652522	5.4569065774538	7.18983207198476	2.53966383845602	0.446834349805616	2.23323887569518	1.08501390094782	4.35294852844963
20	Colwellia MB02u-11	Clade A2	3.14937527488841	2.54995646216227	3.99374679607905	3.77680302378906	9.69269511237315	4.85371896564229	6.39493918955257	2.11593391073378
21	Colwellia MB02u-12	Clade B	1.25007636399051	6.68048784464457	7.35757443641988	0.122936741536025	1.58180385475811	0.915203273328357	1.06708791107847	1.79024091661054
22	Colwellia MB02u-14	Clade A2	1.43926650362061	2.80584875212466	3.76279330882729	3.1946046504089	6.5944236349419	5.02651096673048	6.22055468481584	1.18714024074549
23	Colwellia MB02u-18	Clade B	0.116983213825103	5.21080568534961	5.96904689414051	1.50744606349008	0.2439371140569	0.559753354119641	2.44928216155394	0.400458322799553
24	Colwellia MB02u-19	Clade B	1.33655671028733	6.61360534379497	7.35719598644556	0.0183727087658117	1.55908890655996	0.88507364413803	0.993246376193376	1.89816691682642
25	Colwellia MB3u-4	Clade B	0.696484248947923	7.15069838706858	7.20091386103131	0.200320175726691	1.00112122257314	0.412353404601444	1.16155903444979	1.7223617604438
26	Colwellia MB3u-8	Clade B	0.4718620522154	3.8801089059801	3.76297876546625	0.882602965397222	1.39371646408431	2.3629877639042	2.26569717391395	0.939762073942362
27	Colwellia MB3u-22	Clade A2	3.33279513222429	2.76019042463232	4.28776364833615	3.98369831855848	9.91547573320349	4.93619427225115	6.64915008938419	2.2815788610355
28	Colwellia MB3u-28	Clade A2	1.75928933694044	3.68378260813358	4.17565991787306	3.97323811078115	7.93161279221527	5.87401497751224	7.67735359063763	1.33591805379184
29	Colwellia MB3u-41	Clade A2	1.0863175815022	2.97996820685759	3.47506261373996	3.33229375719816	7.17040549852225	5.2384440365787	7.0390820676428	0.680041876347059
30	Colwellia MB3u-43	Clade B	1.40571905304447	6.68145306805035	7.44749689097504	0.0205339923296561	1.69765354142367	0.937825410414429	0.95364989484517	1.94961682740697
31	Colwellia MB3u-45	Clade B	0.305401633733643	5.63674992285385	6.37197578744582	0.986933276709921	0.478227036395138	0.0249389268241504	1.91050168906995	0.879730530077369
32	Colwellia MB3u-55	Clade A1	0.639458032485653	1.2541682174722	1.37677884833909	1.09947841334724	5.03579686202295	4.13609610348283	3.08725098162286	0.0793952193010057
33	Colwellia MB3u-64	Clade A2	3.91493990352048	3.31250325910335	4.76111779881233	4.54021420352353	10.5273079525265	5.5549914798253	7.14783897917241	2.89603937458929
34	Colwellia BRX10.1	Clade A1	0.164873135744546	0.0367098850106231	0.879366092933054	0.0870712687120658	2.37243533265462	3.23373068492256	1.17524513342559	0.333015943949835
35	Colwellia MB3u-70	Clade B	3.41473396459175	6.90730470173008	6.70131198690818	2.06104896649469	4.44556698726381	0.58729366948145	0.667216873818156	3.90454299073007
36	Colwellia Bg11-12	Clade A2	3.92749257597965	0.100145666169226	1.10125936408902	3.12479412608798	3.05519809730771	1.02841580560002	0.218912168503602	4.70496993118588
37	Colwellia BRX10.2	Clade A1	1.62743758360273	1.38583425817867	2.20464580771222	1.48052577469888	3.73497801211863	4.50227630138661	2.46343037572568	1.12884415211
38	Colwellia BRX10.3	Clade B	2.96143449527598	1.85116323066233	0.358160526691403	3.06744065862407	3.43642826468605	0.858444043496664	3.52384523802162	2.11314492608224
39	Colwellia BRX8.4	Clade A1	0.735169856382587	0.164752971236151	0.727629533558687	0.804727576270647	2.33824685402043	3.35878276315966	0.833670037227472	1.53868319694882
40	Colwellia BRX10.5	Clade A1	0.188291096819352	0.0267520939655128	0.878560080230358	0.123381675373366	2.35960422975887	3.25556461875297	1.21233387460274	0.305159290975045
41	Colwellia BRX10.6	Clade A1	1.17146400701759	0.836842160006302	1.38741726447036	1.53568520878475	1.74242662543968	3.17517230319676	0.363632320219265	1.61326118014801
42	Colwellia BRX10.7	Clade A1	0.228128881011809	0.0350937881543132	0.955764720166982	0.0560549592564712	2.51911451258127	3.03341866304524	0.936053592659595	0.364654523310882
43	Colwellia BRX10.9	Clade A1	1.02036881585358	1.78181753376316	1.62486874932488	0.204275649175997	4.18071727036943	3.48361475602616	0.629203241824323	0.531279750251372
