strain	clade	Meas_OGT	mlm_all	mlm_Pro	mlm_Arg	mlm_Ali	mlm_Aro	mlm_Aci	mlm_Gra	mlm_best
45	Colwellia BRX8.3	Clade A1	8.89999999999998	10.021607333272	10.6774455538378	11.0689846454034	10.0536574582429	13.7329338283181	13.8412023871626	11.6954289974183	9.2828445632045
46	Colwellia BRX8.5	Clade A1	9.70000000000005	10.2103452735412	10.6213373179285	11.0499711781687	10.2745330949308	13.6933093174162	13.9311319434858	11.8622179723319	9.50173598009662
47	Colwellia BRX8.6	Clade A1	10.1	10.1372283261857	10.5898687432119	11.0465344746638	10.1551513341403	13.8149058860698	13.7854265416812	11.7607584847698	9.39293384435774
48	Colwellia BRX8.7	Clade A1	10.2	9.9503692664025	11.0355492232081	11.4936903397126	9.79013418107672	13.6806783978934	13.6355376038837	11.4059057126851	9.09777992744024
49	Colwellia BRX8.8	Clade A1	10.8000000000001	12.4006860910725	11.8207916021894	12.2680409622498	11.9454799463177	12.8981229738311	14.261611405691	12.2902551966341	11.8584371950316
50	Colwellia BRX8.9	Clade A1	8.30000000000007	9.73925868996198	9.51492857765388	10.7245174252272	10.6656565706637	12.2434863974131	14.8842645695464	12.8476020089558	9.30936356330356
51	Colwellia BRX10.4	Clade A1	8.44999999999999	9.74933940333469	10.7146560513563	11.0152205390712	10.6455013794634	14.5332149129449	13.0088604168069	12.9849197860886	9.16118021188151
52	Colwellia psychrerythraea GAB14E	Clade C	8	16.1276964650129	9.38373146336454	11.0682126648487	19.3592143364108	11.3454687573071	13.1112009402755	19.1655540528869	18.1322451888223
53	Colwellia psychrerythraea ND2E	Clade C	8	16.774884982483	10.8576319836204	12.282218342168	17.6529492114995	12.0034679920866	16.609721530105	17.3802100347561	16.8589561735665
54	Colwellia polaris strain MCCC1C00015	Clade B	20.5	14.5093839278642	13.7536066247555	12.3671358805037	15.3978263279045	13.1070824490289	13.4632018181836	14.8791379640401	15.2949613485488
55	Cognaticolwellia aestuarii strain KCTC 12480	Clade B	27.5	13.8640449940233	11.6298428052903	14.6442154004859	11.4419503094614	13.1066542881161	10.5729894670513	10.2110664629825	12.7874234252734
56	Cognaticolwellia aestuarii strain CGMCC1.6965	Clade B	27.5	14.0270632123796	11.7209164877662	14.6602453810631	11.6320819636601	13.0212536378694	10.7179917876931	10.3327353961445	12.9942579511331
57	Thalassomonas actiniarum strain A5K-106	Other Colwelliaceae	27.5	31.2644199513852	29.6045108566007	23.5782325963168	30.3200718147559	15.5771273288064	15.5010554759567	24.2619864540508	31.667791635831
58	Colwellia chukchiensis strain CGMCC1.9127	Clade B	24	17.0256688203862	20.2293832647795	20.7572198041052	14.6001997902472	12.5367930050479	2.92494632186364	10.2329489336772	17.9034204480248
59	Litorilituus sediminis strain JCM 17549	Other Colwelliaceae	37	24.5329366694811	10.6947070647596	12.9994954158957	25.2039694307182	16.3476256070363	17.4359626356302	23.6133391925041	23.8957005413915
60	Colwellia demingiae strain ACAM 459	Clade C	11	13.4016315905741	13.3125920049564	11.5005436394499	14.562393895239	10.2430176829232	15.4171518113993	13.787334265256	14.8544641672618
61	Colwellia hornerae strain ACAM 607	Clade A1	10.5	9.21915541369662	10.4087147582267	11.4764387004621	9.49501379593755	12.8621652568286	12.9303834583557	11.3370825160783	8.67584709980948
