Clade	j	b	Tmin	c	Tmax	topt	resid
164	Clade A1	164	0.227109636165954	261.469893697622	0.0271626378007632	296.034385903847	7.60000000000002	9.61481343191782e-16
173	Clade A1	173	0.044987099586009	246.510995576082	0.297087184184904	292.376295578193	11	1.28996258548478e-15
174	Clade A1	174	0.110332634212024	254.99243719974	0.0419525846808357	299.527586678697	8.60000000000002	1.84109660314757e-15
181	Clade A1	181	0.0444881198625282	244.525499051325	0.42168530671742	292.135223927919	12.3	2.0045598609095e-15
190	Clade A1	190	0.0137511364826576	180.099560376695	0.503138758087791	292.709066022851	11.8	1.5622222714862e-15
197	Clade A1	197	0.0290464803865435	231.292989309029	0.585592433686775	291.46565379651	12.5	4.29880018172332e-15
199	Clade A1	199	0.0374649854880839	237.33923524287	0.213973470193277	292.792445096311	8.80000000000001	2.98936698014091e-16
204	Clade A1	204	0.0550768103283429	250.656105761405	0.216024961288736	292.075796604264	9.5	4.23088209184713e-15
205	Clade A1	205	0.0262185010263732	221.096624673511	0.208703658633513	294.634746196981	9.10000000000002	6.37774571658814e-16
207	Clade A1	207	0.015888393848979	188.526699020789	0.438951643976979	292.549714432138	11	1.57009245868378e-16
208	Clade A1	208	0.0532991571857846	251.864278857171	0.233237458838749	293.829196802862	11.6	1.15377761183014e-15
210	Clade A1	210	0.0486662714436811	251.286383184465	0.414802373347892	291.997501986466	12.4	9.67869993826625e-16
215	Clade A1	215	0.124809043920194	258.48484856703	0.0659344852298146	294.342603895216	7.69999999999999	4.44089209850063e-16
226	Clade A1	226	0.0374528494917871	234.193396376844	0.0489452639293596	310.736892101131	12.2	1.11022302462516e-16
228	Clade A1	228	0.0186495530803568	203.758039853172	0.376986550736213	294.653117657548	12.5	8.95090418262362e-16
229	Clade A1	229	0.238425327311496	262.25818098065	0.0217195966259527	299.636197512308	9.69999999999999	3.90318795756505e-15
232	Clade A1	232	0.026354063911316	228.511411809133	0.561232488345211	291.750039109749	12.5	4.78685116818369e-15
233	Clade A1	233	0.039456914151223	239.097781852518	0.157867885271481	296.961854338035	10.8	1.44482634611953e-14
234	Clade A1	234	0.205331779838269	258.958696546339	0.0210088312868199	300.564263637263	8.89999999999998	1.28996258548478e-15
238	Clade A1	238	0.071511522218977	249.087793791264	0.0462859519144554	301.565422826502	8.69999999999999	1.33688555545767e-15
240	Clade A1	240	0.0245620935457645	219.65366779744	0.308270751964453	293.092247388804	10.3	3.84592537276713e-16
241	Clade A1	241	0.0641345659580226	251.321852108468	0.0956217827168077	295.072748844899	8	6.68442777728834e-16
242	Clade A1	242	0.0208121637620135	210.268565164827	0.49698018174879	294.252310041731	13.9	1.36877487188358e-15
248	Clade A1	248	0.0380602206476883	237.496648242595	0.298880637742088	292.590420253847	10.6	8.08254562088053e-16
250	Clade A1	250	0.038050076103709	239.145531346962	0.274625234356086	292.549485862144	10.2	9.30536459788923e-16
253	Clade A1	253	0.0594836638055364	249.379217232831	0.116306635424523	294.028565417926	7.80000000000001	3.7436088229564e-15
254	Clade A1	254	0.0812644633378417	260.729985480898	0.175865749940038	294.167838508293	11.8	1.03107387189365e-15
255	Clade A1	255	0.0359392961331219	239.043508764271	0.46105477269634	292.789917876097	13	1.91975507333082e-15
257	Clade A1	257	0.353267199851773	261.447854988818	0.0203532920777932	294.075661115363	6	1.39993796698584e-15
259	Clade A1	259	0.0533307661874299	249.386076223422	0.166296316973547	293.816843555037	9.5	3.84592537276713e-16
260	Clade A1	260	0.0461092263144259	246.408941351388	0.37155892981512	292.005058499438	11.7	4.8368022722105e-15
268	Clade A1	268	0.0724946875340871	253.410563969293	0.119550888618984	295.750785151568	10.1	1.92296268638356e-16
269	Clade A1	269	0.03367870349404	233.577838952384	0.226032156952533	294.445678021752	10.4	2.04112019628891e-15
271	Clade A1	271	0.0874789736790335	256.388181314142	0.113292849210432	292.581229373031	7.89999999999998	2.33938507517911e-15
278	Clade A1	278	0.090155759874893	257.189048642514	0.103679597458921	294.445498904939	9.10000000000002	1.48952049194836e-15
288	Clade A1	288	0.0953759146414584	256.176059642877	0.0703131652883192	295.956922291082	8.39999999999998	1.16969253758955e-15
289	Clade A1	289	0.0621845027016377	252.302136352813	0.195176904396296	293.23509443912	10.2	2.5775352444066e-15
290	Clade A1	290	0.0211222770998203	209.309727748262	0.131816686004764	300.0025144577	9.10000000000002	4.15407418105522e-16
294	Clade A1	294	0.0101023519625651	141.57306196216	0.468643256913475	292.496377888198	10.5	4.29987528494926e-16
299	Clade A1	299	0.109730857910751	252.905254590467	0.0330229700201331	299.243898912656	6.89999999999998	1.33226762955019e-15
300	Clade A1	300	0.0740945233146441	257.93748626185	0.214089075216689	292.305939869963	10.6	1.36990004664973e-15
311	Clade A1	311	0.235503247486289	260.457005819884	0.0220342841597579	298.147013927179	8.10000000000002	1.65419505046575e-15
322	Clade A1	322	0.0772680043357937	255.111996488471	0.0899916086980769	295.2427177694	8.69999999999999	1.26097096004868e-15
323	Clade A1	323	0.0510619518075132	245.37769074044	0.139632014635562	292.920711226952	7.19999999999999	3.35693331637651e-15
327	Clade A1	327	0.05094705659749	245.604005102395	0.154587821407882	294.039211817714	8.80000000000001	4.01833257132142e-15
334	Clade A1	334	0.0446580645000664	242.52574839372	0.199122506782811	294.850844006824	10.7	1.57792339234318e-15
335	Clade A1	335	0.310886069838186	264.699823546333	0.0264308055420947	294.650006923172	8.10000000000002	1.76329841553231e-15
343	Clade A1	343	0.079226300326841	253.784536340821	0.0854714253309729	294.624664228591	7.69999999999999	5.97873396028182e-16
353	Clade A1	353	0.17465972533616	255.349970856698	0.0199261249727117	301.17846291292	7.69999999999999	1.3414875847489e-15
354	Clade A1	354	0.124411092478028	258.944464391931	0.0509569511477131	296.956316327484	8.80000000000001	1.68373658217015e-15
355	Clade A1	355	0.13348531033541	257.119760812397	0.0424545448166064	295.233211198286	6.5	2.09182045922871e-15
356	Clade A1	356	0.0603417928594423	251.733562291947	0.151327538156786	293.575314735413	9.19999999999999	2.9373740229761e-16
361	Clade A1	361	0.164018982607035	258.527631141738	0.0345133799987915	295.590939864832	6.69999999999999	1.28037165255344e-15
363	Clade A1	363	0.0611236343176	248.031563873037	0.083272031472759	297.730810442158	8.69999999999999	2.9373740229761e-16
370	Clade A1	370	0.037025371850725	240.567492243731	0.945310521307708	291.002631349283	14	1.34364509350801e-14
371	Clade A1	371	0.134145436137118	261.392240428125	0.0626721432340027	295.200291275397	9	4.1792192428322e-15
374	Clade A1	374	0.0443612375385903	245.000293831041	0.283228612572415	292.133213510515	10.4	4.65482766776343e-14
379	Clade A1	379	0.0204007128397363	214.674491994376	0.500735346737712	291.959136142743	11.8	3.11060637828084e-15
380	Clade A1	380	0.0694210683547529	254.545646180742	0.182429150977747	293.899089609627	10.8	2.88230661243886e-15
384	Clade A1	384	0.0823658176278587	257.882061630047	0.14714356087898	292.752465972436	9.39999999999998	3.13084861418646e-15
388	Clade A1	388	0.0810921352191029	256.583780296717	0.0896176707373099	295.865975582591	9.5	9.48574968053509e-16
392	Clade A1	392	0.024616150372009	218.633902595694	0.460703007104765	292.141471590978	11.7	4.67481681619193e-15
396	Clade A1	396	0.0420085637142686	244.466751152828	0.352118353700213	293.615257284952	12.8	3.68219320629515e-16
399	Clade A1	399	0.0481763338195687	246.257457494214	0.126012573618899	296.528960170086	9.80000000000001	8.38200002214545e-16
400	Clade A1	400	0.0337006834969364	235.747949963739	0.494210187291479	292.823934613861	13.2	2.48749426639084e-15
401	Clade A1	401	0.0735581251874892	254.781051529787	0.0978565405424335	294.956786900349	8.80000000000001	1.97669589749481e-15
406	Clade A1	406	0.0216873479298188	215.42455039119	0.430847860173917	293.73459843386	12.7	1.68739290912997e-15
407	Clade A1	407	0.0863032796515141	258.981157854569	0.158770906109174	292.178385634993	9.39999999999998	4.69848692607995e-15
413	Clade A1	413	0.0198117950724172	203.469613191109	0.361481762636065	292.347681681769	10	1.30066785273941e-15
415	Clade A1	415	0.073424245481195	257.939347450088	0.296089637315408	291.387866087254	11.1	4.84952737252832e-15
417	Clade A1	417	0.0392761127980958	243.937172848755	0.482585564995624	292.545217855504	13.2	1.23129689848616e-15
426	Clade A1	426	0.182566563182923	261.679548038513	0.0344203885650413	298.515613419692	9.69999999999999	1.64672686311277e-15
427	Clade A1	427	0.251402577038311	260.151728402195	0.0130200155220641	304.348435487617	10.8	8.15843973306311e-16
434	Clade A1	434	0.0339437417218913	237.141908558662	1.11395766729864	290.688105802907	14.1	2.84410016814218e-15
435	Clade A1	435	0.0334345957168923	233.926464128391	0.160026371889183	295.719194778105	9.19999999999999	1.63922465159876e-15
438	Clade A1	438	0.0447706879177511	242.734193733362	0.242152102443057	293.645823710806	10.8	2.02900661633277e-15
439	Clade A1	439	0.0423273964910318	242.143321996951	0.222496619439146	293.900941771526	10.5	6.75322301446426e-16
445	Clade A1	445	0.0760692662145958	252.70858771953	0.122149445927345	292.922938974575	7.69999999999999	2.55170216835436e-15
446	Clade A1	446	0.181837602282159	258.186272998553	0.0265360079154963	296.505051953063	6.60000000000002	8.52778486478535e-16
455	Clade A1	455	0.0285878853607234	226.45442293506	0.399530582055231	291.824450958224	10.9	2.11525895502192e-15
457	Clade A1	457	0.0548934983539863	251.07639255635	0.199882495598742	294.068281961592	10.9	2.18406576967323e-15
459	Clade A1	459	0.155196590883007	262.195586564196	0.0641324402363691	293.624610079353	8.19999999999999	2.67204182037489e-15
461	Clade A1	461	0.132748704829398	260.891020685347	0.0654731938177281	293.825777649877	8	9.35490548712043e-16
465	Clade A1	465	0.0901532963599318	260.930434271077	0.155547436611972	293.681927537919	10.9	2.13339111383167e-15
473	Clade A1	473	0.0615385729316686	252.678659853309	0.153398225964411	292.761298652717	8.69999999999999	3.68219320629515e-16
476	Clade A1	476	0.0539925731746713	249.387990462093	0.165123864786218	294.731928695079	10.3	1.73777390727309e-15
478	Clade A1	478	0.113078225276267	256.458742518571	0.060825969533213	294.448573750383	6.89999999999998	1.62031716036975e-15
480	Clade A1	480	0.0473662497296898	247.268776493775	0.18574980426512	294.424244808092	10.4	2.00148302124336e-15
488	Clade A1	488	0.0530467114521289	241.560010713357	0.0600935203332559	300.047892423461	7.10000000000002	4.83934996913313e-16
490	Clade A1	490	0.0807836323109882	256.412665103651	0.128282926423509	291.477746593893	7.5	3.43317509889168e-16
491	Clade A1	491	0.117473926573206	260.840825597704	0.0953837574905531	293.371973222453	8.80000000000001	3.96584345352208e-15
493	Clade A1	493	0.0630684613436101	248.305628233486	0.0796270750798966	297.859400936519	8.60000000000002	2.33146835171283e-15
495	Clade A1	495	0.0299360435612342	222.932623859161	0.140932490284074	295.960844333542	7.30000000000001	1.20088981274602e-15
500	Clade A1	500	0.0114734172264219	157.042221015344	0.245658404214993	299.503962147271	12.3	1.18539381111297e-15
501	Clade A1	501	0.130981941602652	260.443181442322	0.0617014662987516	295.301042388922	8.69999999999999	2.72852978598792e-15
504	Clade A1	504	0.0620568238969994	252.844368616779	0.173583820691206	292.843594964974	9.39999999999998	3.84151605565729e-15
505	Clade A1	505	0.0477849389069452	247.702356210762	0.234478803550872	293.681365484069	11.1	5.88627641820397e-15
508	Clade A1	508	0.025471621642066	224.5346667865	0.324699249956179	292.029445003668	9.80000000000001	3.84111495766031e-15
512	Clade A1	512	0.0639222624477789	253.243663947585	0.147300563936319	291.545062829976	7.60000000000002	2.44564266304156e-15
513	Clade A1	513	0.0352368457086808	239.174641389699	0.22978313326816	294.570613680714	11	1.72352961860911e-15
517	Clade A1	517	0.0207142617169078	206.694654212291	0.313299200431457	292.412610995478	9.19999999999999	2.68756537844754e-15
520	Clade A1	520	0.0270429144517659	223.880778485017	0.531779112871989	292.225056662098	12.6	1.4432899320127e-15
524	Clade A1	524	0.0481594520428886	245.24413915397	0.0758203805205471	303.384071814426	12	7.19506753999772e-16
527	Clade A1	527	0.0512914933373004	250.803988010808	0.330186978222292	292.299531320674	11.7	5.23220207957395e-15
529	Clade A1	529	0.183730119596879	257.268312242292	0.0236923405378649	298.792255273694	7.39999999999998	7.7715611723761e-16
537	Clade A1	537	0.288230033199785	262.916147023717	0.0228362585068347	296.752081293866	8.39999999999998	1.51414233340151e-15
547	Clade A1	547	0.304317614555577	260.11807891035	0.0166299849205241	296.354700022507	6.5	1.60886601221371e-15
548	Clade A1	548	0.0129225070449647	178.251121557615	0.239327725833025	299.448138522163	12.7	3.68219320629515e-16
549	Clade A1	549	0.0432894565919172	242.540380422491	0.211347582529541	291.85246112455	8.39999999999998	5.32444257940492e-16
551	Clade A1	551	0.0155694809551844	190.14925164075	0.243885671939326	293.749812118821	7.89999999999998	4.83934996913313e-16
564	Clade A1	564	0.101492091025337	252.308869876386	0.0384552761261532	299.603719745643	7.5	8.30814836211045e-16
577	Clade A1	577	0.0231309392251706	213.88677975662	0.313438174188812	292.635934217403	9.69999999999999	2.67837709384873e-15
584	Clade A1	584	0.0262917472684207	225.495801937822	0.2916514321823	293.642790196168	10.7	7.85046229341888e-16
589	Clade A1	589	0.118127823595888	258.2850467195	0.0643408902625957	296.244454818111	8.89999999999998	1.29948273372089e-15
593	Clade A1	593	0.0351765590440925	239.039157933199	0.774237401489693	291.369843309291	13.7	7.88258347483861e-15
597	Clade A1	597	0.0576756201802481	248.71531957186	0.0981393360156901	297.574869064746	9.60000000000002	1.52226111724852e-15
599	Clade A1	599	0.106695014296891	255.109210912157	0.0517197238236463	296.265724506732	7.19999999999999	1.67271964871755e-15
600	Clade A1	600	0.0658825587651983	250.5665771407	0.0838700006588437	297.023252541191	8.69999999999999	9.28879225241625e-16
601	Clade A1	601	0.0630000670334402	250.192571501484	0.158253363050754	292.756560778638	8.5	1.27070833214167e-15
608	Clade A1	608	0.204236650526784	258.357968213739	0.0259536632444013	295.980962096396	6.30000000000001	2.98524086778079e-15
611	Clade A1	611	0.117579809290725	262.395637273213	0.108415826219976	292.956797000033	9.30000000000001	2.53959725109396e-15
612	Clade A1	612	0.284840373945473	261.549783954378	0.0197488247427782	296.648743566428	7.5	1.05908526550563e-15
622	Clade A1	622	0.456893562031752	261.779766440941	0.0127961851158201	296.534343861228	7.10000000000002	1.60118641699469e-15
627	Clade A1	627	0.0385508142078967	237.35289479019	0.220594557323713	292.979718446615	9.19999999999999	3.84592537276713e-16
629	Clade A1	629	0.0704659290443717	256.500283173476	0.254404346502558	291.46791041856	10.4	1.25730000332182e-15
630	Clade A1	630	0.059175503364323	252.188982958376	0.228511604639223	291.926685980624	9.80000000000001	3.35876870925086e-15
632	Clade A1	632	0.0292006979928574	228.814543866862	0.206136167072872	297.288055847476	12	6.08094194448812e-16
640	Clade A1	640	0.0233138315203703	216.622889974708	0.278571099046038	293.084051322295	9.5	2.75829542513258e-15
644	Clade A1	644	0.0647063654334011	250.347726971155	0.0874714483322151	294.278684724088	6.69999999999999	1.3183167987305e-15
647	Clade A1	647	0.0575221936478887	246.464136823331	0.100306680640997	294.852253694021	7.10000000000002	1.00534970772086e-15
652	Clade A1	652	0.0838251909119114	249.582890400589	0.0308608909918214	302.385780099649	7.60000000000002	1.70555697295707e-15
655	Clade A1	655	0.0751613299491585	256.786683426336	0.109877344390156	295.276218829654	9.89999999999998	1.65046518089335e-15
657	Clade A1	657	0.384102275474272	265.295264732741	0.0228205627420522	294.44458173308	8	3.98947177711738e-15
662	Clade A1	662	0.0423075290864091	244.971723856119	0.303089423278243	293.003329846583	11.5	1.12127029198851e-15
663	Clade A1	663	0.111998317278665	258.733625719736	0.048818203639807	301.016327450876	11.4	2.91631730688107e-15
665	Clade A1	665	0.0213412095364207	211.096144169386	0.218266883317256	295.100232838127	9.19999999999999	2.75550108197261e-15
669	Clade A1	669	0.301584791163557	259.488027533689	0.0142517104830211	300.19746204715	8.19999999999999	1.5622222714862e-15
670	Clade A1	670	0.0282855155616661	225.895370680713	0.168755506782295	295.784167778902	8.89999999999998	8.23363431556386e-16
671	Clade A1	671	0.0364691073646452	240.661347294525	0.335866045654819	294.327808281239	13	1.07066031162983e-15
672	Clade A1	672	0.0470724737044911	249.174186146911	0.398098847787984	292.689188555548	12.8	1.13764006725687e-15
674	Clade A1	674	0.156956688866395	262.370367351408	0.0520381681080811	295.994068309616	9.30000000000001	2.0045598609095e-15
677	Clade A1	677	0.141157536176637	256.158429872745	0.0275927819644039	301.06287727252	8.69999999999999	7.0216669371534e-16
678	Clade A1	678	0.0214383846064857	210.23238762331	0.32457422605853	292.692749192323	9.80000000000001	1.57792339234318e-15
679	Clade A1	679	0.249671094784404	261.45183420409	0.0259856108724855	295.460719739666	7.19999999999999	3.97864341188144e-15
682	Clade A1	682	0.0985137059273893	256.406472130418	0.0696326109284609	294.052024244223	7.10000000000002	1.56714577020857e-15
683	Clade A1	683	0.145473588890039	260.982070678713	0.058280942746338	294.96989622092	8.5	4.26967006706511e-15
686	Clade A1	686	0.0666476421288753	257.041509163556	0.253373912916928	291.608071007499	10.5	3.87466245013516e-15
690	Clade A1	690	0.0496657588360499	248.256561736311	0.259453564991653	292.843449622469	10.9	2.14132062325966e-15
692	Clade A1	692	0.0420239370454455	239.313437494406	0.0779503628968063	303.284669305028	11	9.8052242617806e-16
699	Clade A1	699	0.0768700832317325	253.903343033006	0.0846054566807419	295.863309754562	8.60000000000002	9.48574968053509e-16
701	Clade A1	701	0.0614732612316696	251.333709467417	0.148902069384386	293.524770371707	9	2.2698563362523e-15
705	Clade A1	705	0.0906894453360208	256.857477465855	0.116406968487593	294.321808389401	9.5	1.86768421187153e-15
706	Clade A1	706	0.0182968227731235	199.201022436298	0.434792531202763	291.458005119594	10.1	3.40795069457185e-15
708	Clade A1	708	0.0378018744014882	242.511310497208	0.391232191000151	292.924130577993	12.6	2.90573172818718e-15
711	Clade A1	711	0.08184539711942	254.127276767585	0.0616024772703522	296.808001705251	8	2.71947991102104e-16
713	Clade A1	713	0.542407340575587	263.958656331073	0.0114108268857009	296.497434607391	8	1.5622222714862e-15
722	Clade A1	722	0.0587224741168511	251.831698948715	0.18987461721923	293.264591331745	10.1	1.71276866251419e-15
724	Clade A1	724	0.0417053915693451	237.785681934178	0.140318752255152	294.656372585221	7.80000000000001	2.18406576967323e-15
732	Clade A1	732	0.294323440726983	263.699587865633	0.0295947030223423	293.658538948705	7.19999999999999	8.43568612083066e-15
739	Clade A1	739	0.0556811502211046	247.669970778489	0.0863757052723376	298.569539916481	9.5	2.40690616200898e-15
743	Clade A1	743	0.0838813392460044	256.191455567019	0.125202983130052	293.021777487725	8.60000000000002	8.67111901826273e-16
746	Clade A1	746	0.0370505012107342	238.81071065355	0.212517314122645	293.67826899045	9.69999999999999	5.76888805915069e-16
749	Clade A1	749	0.036679005301285	237.138579569624	0.330243913961367	291.965054900435	10.5	2.7403623919392e-15
756	Clade A1	756	0.011081191979893	152.842888226355	0.539973541804194	291.871721304676	11	3.11852142002869e-15
758	Clade A1	758	0.0255545203369889	225.054923640423	0.369064421048569	292.096015813673	10.6	3.34589981630265e-15
760	Clade A1	760	0.150834068357193	262.514233447541	0.0581734689611417	294.228415067596	8.5	3.43631513034341e-15
762	Clade A1	762	0.0285606960872012	234.161173462095	0.579002786927874	292.568193453542	13.6	1.6983146601011e-15
764	Clade A1	764	0.0452328947826019	246.103123769947	0.225028881783114	293.197987189467	10.3	1.64672686311277e-15
766	Clade A1	766	0.316247533942033	261.39870744292	0.017644807751984	297.718577782363	7.89999999999998	3.67213712960473e-15
767	Clade A1	767	0.0792182804000227	256.190830332598	0.117776530644301	293.320765336858	8.60000000000002	3.40749856180773e-15
771	Clade A1	771	0.0164226483101729	192.355028318556	0.325500141606906	294.312511643414	10.8	6.93334056655992e-16
776	Clade A1	776	0.0482965586606189	247.846632527933	0.447199261525385	291.993772748019	12.5	3.25581301887982e-15
778	Clade A1	778	0.0623349312913561	253.454261486779	0.248171886376821	292.442392568234	10.8	3.19032201667757e-14
781	Clade A1	781	0.193348342665401	261.06571710943	0.032949665642418	296.624477702423	8.19999999999999	1.30421674842904e-15
782	Clade A1	782	0.0582438676975709	248.89636628492	0.0777428446534855	301.96144374475	11.8	5.66104886700368e-16
785	Clade A1	785	0.0740659388695575	255.124830128632	0.133896675369257	293.760550776687	9.30000000000001	2.48253415324727e-16
786	Clade A1	786	0.0784828903772729	256.780178059245	0.177048376418484	291.105774569313	8.60000000000002	5.80463256296777e-15
787	Clade A1	787	0.0862384542831783	256.469346836827	0.117698548876905	293.232968196147	8.60000000000002	1.36548405527114e-14
791	Clade A1	791	0.101544386918918	257.27802514199	0.0819711593048507	292.796656621379	7	2.59955822955862e-15
793	Clade A1	793	0.281237830531254	261.943450147205	0.0214072895028871	295.700888626049	7.30000000000001	1.60214837948278e-15
805	Clade A1	805	0.0242089257479801	215.90411630524	0.28693860201455	293.121646766593	9.69999999999999	1.13991307665047e-14
808	Clade A1	808	0.102123514661524	254.373101168522	0.0563814607872081	296.514099018227	7.5	6.84387435941789e-16
817	Clade A1	817	0.140868603992174	258.484836480797	0.037185658528519	297.456103175091	8.10000000000002	1.26097096004868e-15
818	Clade A1	818	0.0345014694454646	236.658608096214	0.240693638734075	291.707124632245	8.5	2.87159566267405e-15
826	Clade A1	826	0.203312839451323	260.471187579765	0.0230789851223153	300.934138440119	9.89999999999998	2.41457555848829e-15
827	Clade A1	827	0.0562483171825311	248.775224060168	0.11434580357494	295.619998282523	8.89999999999998	1.81071895591912e-15
