Clade	b	Tmin	c	Tmax	topt
1	Clade A1	0.0575253399183475	249.683986880349	0.147300563936319	294.052024244223	9.39999999999998
2	Clade A2	0.0665940616558486	254.336475584734	0.146630149707538	292.069841530091	8.60000000000002
3	Clade B	0.0473338808132852	246.854731637911	0.157222132778083	292.794792425915	8
4	Clade C	0.0485699594687453	247.857857740542	0.298614256977825	291.832231552508	10.7
