Clade	b	Tmin	c	Tmax	topt
1	Clade A1	0.0862854607725845	243.015052163995	0.201257358297872	294.782314123251	9.63003533568905
2	Clade A2	0.108664702498316	248.272992457786	0.199932436320074	292.692445619375	8.73317073170732
3	Clade B	0.0806664205936303	235.919828573404	0.202082551621825	293.137979129219	8.32371541501976
4	Clade C	0.0552813167032684	247.493287072447	0.342940625761096	291.994500967831	10.7341592920354
